A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]

============================================================
Training: ViT (scratch) (seed=2)
============================================================
Encoder: 1,999,232 params (fine-tune (encoder_lr_scale=1.0)) | Heads: 263,941 params
global_step=41024, episodic_return=2.0, episodic_length=839
global_step=41168, episodic_return=2.0, episodic_length=813
global_step=41304, episodic_return=0.0, episodic_length=527
global_step=41512, episodic_return=2.0, episodic_length=842
global_step=41648, episodic_return=0.0, episodic_length=556
global_step=42224, episodic_return=8.0, episodic_length=1422
global_step=42368, episodic_return=0.0, episodic_length=531
global_step=42552, episodic_return=5.0, episodic_length=1434
global_step=42696, episodic_return=0.0, episodic_length=603
global_step=42808, episodic_return=2.0, episodic_length=1077
global_step=43232, episodic_return=3.0, episodic_length=1041
global_step=43272, episodic_return=2.0, episodic_length=808
global_step=43440, episodic_return=4.0, episodic_length=1204
global_step=43832, episodic_return=0.0, episodic_length=533
global_step=44016, episodic_return=2.0, episodic_length=825
global_step=44288, episodic_return=3.0, episodic_length=1036
global_step=44432, episodic_return=0.0, episodic_length=621
global_step=44512, episodic_return=0.0, episodic_length=547
global_step=44976, episodic_return=2.0, episodic_length=853
global_step=45040, episodic_return=4.0, episodic_length=1260
global_step=45056, episodic_return=0.0, episodic_length=539
global_step=45392, episodic_return=0.0, episodic_length=563
global_step=45584, episodic_return=5.0, episodic_length=1438
global_step=46320, episodic_return=3.0, episodic_length=940
global_step=46448, episodic_return=0.0, episodic_length=540
global_step=46632, episodic_return=2.0, episodic_length=838
global_step=46648, episodic_return=5.0, episodic_length=1408
global_step=46720, episodic_return=2.0, episodic_length=852
global_step=46752, episodic_return=2.0, episodic_length=877
global_step=46952, episodic_return=4.0, episodic_length=1236
global_step=47808, episodic_return=0.0, episodic_length=567
global_step=47904, episodic_return=2.0, episodic_length=801
global_step=47960, episodic_return=4.0, episodic_length=1192
global_step=48144, episodic_return=2.0, episodic_length=853
global_step=48216, episodic_return=2.0, episodic_length=797
global_step=48440, episodic_return=2.0, episodic_length=845
global_step=48960, episodic_return=0.0, episodic_length=552
global_step=49000, episodic_return=0.0, episodic_length=528
global_step=49072, episodic_return=4.0, episodic_length=1236
