A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]

============================================================
Training: JEPA (fine-tune) (seed=3)
============================================================
Encoder: 1,999,232 params (fine-tune (encoder_lr_scale=0.1)) | Heads: 263,941 params
global_step=56104, episodic_return=0.0, episodic_length=497
global_step=56200, episodic_return=3.0, episodic_length=1012
global_step=56392, episodic_return=2.0, episodic_length=812
global_step=56864, episodic_return=2.0, episodic_length=828
global_step=56936, episodic_return=2.0, episodic_length=835
global_step=57000, episodic_return=0.0, episodic_length=517
global_step=57072, episodic_return=0.0, episodic_length=515
global_step=57744, episodic_return=2.0, episodic_length=816
global_step=57976, episodic_return=2.0, episodic_length=793
global_step=58240, episodic_return=3.0, episodic_length=1020
global_step=58440, episodic_return=4.0, episodic_length=1229
global_step=58600, episodic_return=2.0, episodic_length=822
global_step=58672, episodic_return=2.0, episodic_length=801
global_step=58744, episodic_return=0.0, episodic_length=512
global_step=58840, episodic_return=3.0, episodic_length=997
global_step=58928, episodic_return=3.0, episodic_length=1008
global_step=59072, episodic_return=0.0, episodic_length=568
global_step=59264, episodic_return=0.0, episodic_length=524
global_step=59792, episodic_return=0.0, episodic_length=547
global_step=60272, episodic_return=2.0, episodic_length=831
global_step=60288, episodic_return=2.0, episodic_length=807
global_step=60520, episodic_return=2.0, episodic_length=819
global_step=60848, episodic_return=2.0, episodic_length=792
global_step=61216, episodic_return=4.0, episodic_length=1197
global_step=61248, episodic_return=5.0, episodic_length=1407
global_step=61384, episodic_return=2.0, episodic_length=811
update 60/9765 | step 61440/10000000 | SPS 485 | pg_loss -0.0131 | v_loss 0.0212 | entropy 1.1613
global_step=61456, episodic_return=4.0, episodic_length=1189
global_step=61976, episodic_return=2.0, episodic_length=856
global_step=62248, episodic_return=0.0, episodic_length=505
global_step=62296, episodic_return=3.0, episodic_length=1005
global_step=62376, episodic_return=0.0, episodic_length=507
global_step=62432, episodic_return=2.0, episodic_length=812
global_step=62840, episodic_return=2.0, episodic_length=834
global_step=62896, episodic_return=4.0, episodic_length=1184
global_step=63304, episodic_return=0.0, episodic_length=537
global_step=63448, episodic_return=3.0, episodic_length=996
global_step=63592, episodic_return=2.0, episodic_length=828
global_step=63920, episodic_return=2.0, episodic_length=807
global_step=63984, episodic_return=2.0, episodic_length=804
global_step=64408, episodic_return=3.0, episodic_length=989
global_step=64424, episodic_return=2.0, episodic_length=805
global_step=64528, episodic_return=2.0, episodic_length=832
global_step=64992, episodic_return=0.0, episodic_length=523
global_step=65192, episodic_return=2.0, episodic_length=806
global_step=65456, episodic_return=3.0, episodic_length=1019
global_step=65536, episodic_return=2.0, episodic_length=828
global_step=66008, episodic_return=2.0, episodic_length=788
global_step=66352, episodic_return=3.0, episodic_length=908
global_step=66448, episodic_return=0.0, episodic_length=511
global_step=66520, episodic_return=9.0, episodic_length=1604
global_step=66784, episodic_return=2.0, episodic_length=795
global_step=66832, episodic_return=4.0, episodic_length=1220
global_step=66984, episodic_return=3.0, episodic_length=997
global_step=67408, episodic_return=3.0, episodic_length=946
global_step=67664, episodic_return=2.0, episodic_length=835
global_step=68208, episodic_return=3.0, episodic_length=932
global_step=68368, episodic_return=2.0, episodic_length=791
global_step=68432, episodic_return=2.0, episodic_length=814
global_step=68464, episodic_return=3.0, episodic_length=1020
global_step=68600, episodic_return=2.0, episodic_length=825
global_step=68720, episodic_return=4.0, episodic_length=1112
global_step=69392, episodic_return=3.0, episodic_length=1005
global_step=69448, episodic_return=0.0, episodic_length=493
global_step=69672, episodic_return=3.0, episodic_length=1016
global_step=70024, episodic_return=2.0, episodic_length=822
global_step=70360, episodic_return=3.0, episodic_length=1013
global_step=70360, episodic_return=2.0, episodic_length=824
global_step=70440, episodic_return=3.0, episodic_length=934
global_step=70696, episodic_return=1.0, episodic_length=645
global_step=71016, episodic_return=0.0, episodic_length=508
global_step=71024, episodic_return=5.0, episodic_length=1407
global_step=71032, episodic_return=2.0, episodic_length=841
global_step=71440, episodic_return=0.0, episodic_length=497
global_step=71656, episodic_return=3.0, episodic_length=989
update 70/9765 | step 71680/10000000 | SPS 487 | pg_loss -0.0180 | v_loss 0.0202 | entropy 1.1528
global_step=71720, episodic_return=0.0, episodic_length=508
global_step=71952, episodic_return=2.0, episodic_length=797
global_step=72368, episodic_return=3.0, episodic_length=1025
global_step=72608, episodic_return=2.0, episodic_length=795
global_step=72616, episodic_return=2.0, episodic_length=799
global_step=72632, episodic_return=2.0, episodic_length=799
global_step=72984, episodic_return=1.0, episodic_length=628
global_step=73224, episodic_return=2.0, episodic_length=915
global_step=73944, episodic_return=3.0, episodic_length=992
global_step=74208, episodic_return=2.0, episodic_length=797
global_step=74248, episodic_return=2.0, episodic_length=825
global_step=74328, episodic_return=5.0, episodic_length=1356
global_step=74376, episodic_return=3.0, episodic_length=1020
global_step=74576, episodic_return=2.0, episodic_length=812
global_step=74584, episodic_return=3.0, episodic_length=984
global_step=75224, episodic_return=3.0, episodic_length=996
global_step=75792, episodic_return=2.0, episodic_length=792
global_step=75872, episodic_return=2.0, episodic_length=823
global_step=75944, episodic_return=3.0, episodic_length=1020
global_step=75944, episodic_return=2.0, episodic_length=808
global_step=76208, episodic_return=2.0, episodic_length=830
global_step=76448, episodic_return=3.0, episodic_length=1053
global_step=76816, episodic_return=2.0, episodic_length=797
global_step=76976, episodic_return=4.0, episodic_length=1193
global_step=77184, episodic_return=1.0, episodic_length=627
global_step=77208, episodic_return=0.0, episodic_length=509
global_step=77824, episodic_return=3.0, episodic_length=1021
global_step=77872, episodic_return=3.0, episodic_length=996
global_step=77952, episodic_return=3.0, episodic_length=1008
global_step=78088, episodic_return=2.0, episodic_length=824
global_step=78456, episodic_return=2.0, episodic_length=820
global_step=78568, episodic_return=2.0, episodic_length=810
global_step=79200, episodic_return=3.0, episodic_length=1012
global_step=79200, episodic_return=3.0, episodic_length=1016
global_step=79464, episodic_return=2.0, episodic_length=818
global_step=79904, episodic_return=4.0, episodic_length=1066
global_step=80016, episodic_return=3.0, episodic_length=1029
global_step=80048, episodic_return=2.0, episodic_length=821
global_step=80088, episodic_return=3.0, episodic_length=1024
global_step=80168, episodic_return=2.0, episodic_length=800
global_step=80816, episodic_return=2.0, episodic_length=828
global_step=80832, episodic_return=2.0, episodic_length=830
global_step=80920, episodic_return=0.0, episodic_length=509
global_step=81080, episodic_return=2.0, episodic_length=827
global_step=81664, episodic_return=2.0, episodic_length=808
global_step=81688, episodic_return=2.0, episodic_length=808
global_step=81712, episodic_return=2.0, episodic_length=861
global_step=81760, episodic_return=2.0, episodic_length=810
update 80/9765 | step 81920/10000000 | SPS 489 | pg_loss -0.0008 | v_loss 0.0153 | entropy 1.1412
