A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]

============================================================
Training: AE (fine-tune) (seed=3)
============================================================
Encoder: 1,999,232 params (fine-tune (encoder_lr_scale=0.1)) | Heads: 263,941 params
global_step=64992, episodic_return=0.0, episodic_length=502
global_step=65752, episodic_return=0.0, episodic_length=492
global_step=65760, episodic_return=2.0, episodic_length=740
global_step=65776, episodic_return=2.0, episodic_length=731
global_step=65944, episodic_return=1.0, episodic_length=647
global_step=65960, episodic_return=1.0, episodic_length=608
global_step=66136, episodic_return=1.0, episodic_length=624
global_step=66144, episodic_return=1.0, episodic_length=647
global_step=66232, episodic_return=1.0, episodic_length=620
global_step=67008, episodic_return=1.0, episodic_length=634
global_step=67024, episodic_return=0.0, episodic_length=556
global_step=67024, episodic_return=1.0, episodic_length=650
global_step=67088, episodic_return=0.0, episodic_length=580
global_step=67624, episodic_return=2.0, episodic_length=752
global_step=67768, episodic_return=2.0, episodic_length=783
global_step=67848, episodic_return=7.0, episodic_length=1051
global_step=67856, episodic_return=3.0, episodic_length=875
global_step=68032, episodic_return=0.0, episodic_length=499
global_step=68120, episodic_return=0.0, episodic_length=536
global_step=68536, episodic_return=2.0, episodic_length=779
global_step=68904, episodic_return=0.0, episodic_length=531
global_step=68912, episodic_return=0.0, episodic_length=524
global_step=69112, episodic_return=4.0, episodic_length=1056
global_step=69136, episodic_return=2.0, episodic_length=755
global_step=69264, episodic_return=2.0, episodic_length=747
global_step=69504, episodic_return=2.0, episodic_length=740
global_step=69608, episodic_return=2.0, episodic_length=752
global_step=70000, episodic_return=2.0, episodic_length=743
global_step=70168, episodic_return=0.0, episodic_length=523
global_step=70392, episodic_return=1.0, episodic_length=623
global_step=70672, episodic_return=0.0, episodic_length=543
global_step=70688, episodic_return=3.0, episodic_length=910
global_step=70880, episodic_return=1.0, episodic_length=688
global_step=70928, episodic_return=7.0, episodic_length=1035
global_step=71024, episodic_return=3.0, episodic_length=890
global_step=71456, episodic_return=0.0, episodic_length=531
global_step=71480, episodic_return=2.0, episodic_length=756
global_step=71680, episodic_return=0.0, episodic_length=518
update 70/9765 | step 71680/10000000 | SPS 492 | pg_loss -0.0178 | v_loss 0.0631 | entropy 1.0884
global_step=71904, episodic_return=3.0, episodic_length=888
global_step=71920, episodic_return=0.0, episodic_length=544
global_step=72040, episodic_return=0.0, episodic_length=504
global_step=72216, episodic_return=2.0, episodic_length=767
global_step=72480, episodic_return=2.0, episodic_length=790
global_step=72728, episodic_return=0.0, episodic_length=519
global_step=72952, episodic_return=2.0, episodic_length=755
global_step=72976, episodic_return=2.0, episodic_length=760
global_step=73136, episodic_return=1.0, episodic_length=609
global_step=73152, episodic_return=1.0, episodic_length=643
global_step=73272, episodic_return=0.0, episodic_length=535
global_step=73280, episodic_return=1.0, episodic_length=628
global_step=73544, episodic_return=0.0, episodic_length=526
global_step=73968, episodic_return=1.0, episodic_length=624
global_step=73984, episodic_return=0.0, episodic_length=540
global_step=74208, episodic_return=0.0, episodic_length=538
global_step=74536, episodic_return=0.0, episodic_length=520
global_step=74608, episodic_return=2.0, episodic_length=812
global_step=74632, episodic_return=2.0, episodic_length=767
global_step=74776, episodic_return=2.0, episodic_length=770
global_step=74976, episodic_return=0.0, episodic_length=507
global_step=75000, episodic_return=3.0, episodic_length=888
global_step=75232, episodic_return=1.0, episodic_length=627
global_step=75480, episodic_return=1.0, episodic_length=643
global_step=75584, episodic_return=0.0, episodic_length=522
global_step=75888, episodic_return=1.0, episodic_length=631
global_step=75992, episodic_return=0.0, episodic_length=532
global_step=76048, episodic_return=1.0, episodic_length=647
global_step=76352, episodic_return=3.0, episodic_length=888
global_step=76720, episodic_return=3.0, episodic_length=859
global_step=76808, episodic_return=1.0, episodic_length=631
global_step=76880, episodic_return=0.0, episodic_length=511
global_step=76952, episodic_return=2.0, episodic_length=755
global_step=77016, episodic_return=0.0, episodic_length=527
global_step=77376, episodic_return=0.0, episodic_length=526
global_step=77512, episodic_return=2.0, episodic_length=731
global_step=77736, episodic_return=5.0, episodic_length=1264
global_step=78024, episodic_return=0.0, episodic_length=527
global_step=78104, episodic_return=1.0, episodic_length=691
global_step=78264, episodic_return=2.0, episodic_length=747
global_step=78424, episodic_return=2.0, episodic_length=752
global_step=78600, episodic_return=3.0, episodic_length=880
global_step=78760, episodic_return=0.0, episodic_length=512
global_step=78880, episodic_return=2.0, episodic_length=759
global_step=79136, episodic_return=0.0, episodic_length=516
